ano;municipio_cod;total_violencia_domestica;feminicidios;municipio_nome;taxa_feminicidio
2023;314330;590;3;MONTES CLAROS;5.08
2023;314340;25;0;MONTE SIAO;0.0
2023;314390;216;3;MURIAE;13.89
2023;314435;8;0;NAQUE;0.0
2023;314465;6;1;NINHEIRA;166.67
2023;314480;133;0;NOVA LIMA;0.0
2023;314520;200;0;NOVA SERRANA;0.0
2023;314530;80;1;NOVO CRUZEIRO;12.5
2023;314590;49;0;OURO BRANCO;0.0
2023;314600;12;1;OURO FINO;83.33
2023;314610;78;1;OURO PRETO;12.82
2023;314625;3;0;PADRE CARVALHO;0.0
2023;314630;49;1;PADRE PARAISO;20.41
2023;314655;15;1;PAI PEDRO;66.67
2023;314700;325;4;PARACATU;12.31
2023;314710;278;0;PARA DE MINAS;0.0
2023;314720;108;0;PARAGUACU;0.0
2023;314740;40;1;PARAOPEBA;25.0
2023;314790;486;0;PASSOS;0.0
2023;314800;332;2;PATOS DE MINAS;6.02
2023;314810;87;0;PATROCINIO;0.0
2023;314880;9;0;PEDRA DO ANTA;0.0
2023;314930;112;1;PEDRO LEOPOLDO;8.93
2023;314970;16;0;PERDIGAO;0.0
2023;314980;32;0;PERDIZES;0.0
2023;315100;22;1;PIRANGUINHO;45.45
2023;315140;93;3;PITANGUI;32.26
2023;315150;181;1;PIUMHI;5.52
2023;315170;55;0;POCO FUNDO;0.0
2023;315180;490;1;POCOS DE CALDAS;2.04
2023;315200;130;0;POMPEU;0.0
2023;315210;173;2;PONTE NOVA;11.56
2023;315220;91;2;PORTEIRINHA;21.98
2023;315250;521;0;POUSO ALEGRE;0.0
2023;315280;113;0;PRATA;0.0
2023;315350;31;0;ALTO JEQUITIBA;0.0
2023;315445;8;0;RIACHINHO;0.0
2023;315460;644;3;RIBEIRAO DAS NEVES;4.66
2023;315490;46;1;RIO CASCA;21.74
2023;315540;20;1;RIO NOVO;50.0
2023;315670;175;1;SABARA;5.71
2023;315690;113;0;SACRAMENTO;0.0
2023;315700;7;0;SALINAS;0.0
2023;315725;7;1;SANTA BARBARA DO LESTE;142.86
2023;315727;12;0;SANTA BARBARA DO MONTE VERDE;0.0
2023;315780;351;0;SANTA LUZIA;0.0
2023;315790;15;0;SANTA MARGARIDA;0.0
2023;315810;2;0;SANTA MARIA DO SALTO;0.0
2023;315890;13;1;SANTANA DO MANHUACU;76.92
2023;315895;77;1;SANTANA DO PARAISO;12.99
2023;315950;12;1;SANTA RITA DO ITUETO;83.33
2023;315960;115;0;SANTA RITA DO SAPUCAI;0.0
2023;315990;54;0;SANTO ANTONIO DO AMPARO;0.0
2023;316070;50;0;SANTOS DUMONT;0.0
2023;316110;73;0;SAO FRANCISCO;0.0
2023;316150;19;0;SAO GERALDO;0.0
2023;316180;25;0;SAO GONCALO DO PARA;0.0
2023;316210;117;0;SAO GOTARDO;0.0
2023;316225;12;0;SAO JOAO DA LAGOA;0.0
2023;316250;77;1;SAO JOAO DEL REI;12.99
2023;316260;12;0;SAO JOAO DO ORIENTE;0.0
2023;316292;26;0;SAO JOAQUIM DE BICAS;0.0
2023;316310;10;0;SAO JOSE DA VARGINHA;0.0
2023;316340;13;0;SAO JOSE DO GOIABAL;0.0
2023;316350;7;0;SAO JOSE DO JACURI;0.0
2023;316370;98;0;SAO LOURENCO;0.0
2023;316400;15;0;SAO PEDRO DOS FERROS;0.0
2023;316410;2;0;SAO PEDRO DO SUACUI;0.0
2023;316420;3;0;SAO ROMAO;0.0
2023;316550;9;0;SARDOA;0.0
2023;316553;46;0;SARZEDO;0.0
2023;316555;10;0;SETUBINHA;0.0
2023;316630;38;0;SERICITA;0.0
2023;316695;8;0;SERRANOPOLIS DE MINAS;0.0
2023;316710;55;0;SERRO;0.0
2023;316720;288;1;SETE LAGOAS;3.47
2023;316850;30;0;TEIXEIRAS;0.0
2023;316860;253;0;TEOFILO OTONI;0.0
2023;316870;149;2;TIMOTEO;13.42
2023;316890;19;0;TIROS;0.0
2023;316900;38;0;TOCANTINS;0.0
2023;316930;114;0;TRES CORACOES;0.0
2023;316940;155;1;TRES PONTAS;6.45
2023;316990;106;1;UBA;9.43
2023;317000;15;0;UBAI;0.0
2023;317005;14;0;UBAPORANGA;0.0
2023;317010;1734;2;UBERABA;1.15
2023;317020;1103;5;UBERLANDIA;4.53
2023;317040;134;4;UNAI;29.85
2023;317052;12;0;URUCUIA;0.0
2023;317070;484;0;VARGINHA;0.0
2023;317075;30;0;VARJAO DE MINAS;0.0
2023;317090;33;0;VARZELANDIA;0.0
2023;317107;10;0;VEREDINHA;0.0
2023;317120;194;0;VESPASIANO;0.0
2023;317130;388;1;VICOSA;2.58
2023;317150;9;0;MATHIAS LOBATO;0.0
2023;317200;132;0;VISCONDE DO RIO BRANCO;0.0
